 Produção Ambulatorial do SUS - Brasil - por local de atendimento
Qtd.apresentada por Capital e Ano/mês processamento
Procedimento: 0301060029 ATENDIMENTO DE URGENCIA C/ OBSERVACAO ATE 24 HORAS EM ATENCAO ESPECIALIZADA
Período:2018-2024
"Capital";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"2022/Ago";"2022/Set";"2022/Out";"2022/Nov";"2022/Dez";"2023/Jan";"2023/Fev";"2023/Mar";"2023/Abr";"2023/Mai";"2023/Jun";"2023/Jul";"2023/Ago";"2023/Set";"2023/Out";"2023/Nov";"2023/Dez";"2024/Jan";"2024/Fev";"2024/Mar";"2024/Abr";"2024/Mai";"2024/Jun";"2024/Jul";"2024/Ago";"2024/Set";"2024/Out";"2024/Nov";"2024/Dez";"Total"
"410690 Curitiba";26947;24267;29730;30331;28951;28884;29734;31226;33046;35775;33654;34111;35620;35537;43513;46052;48786;49237;48333;50628;50279;55116;52678;52361;52981;50439;42439;25901;26960;27096;25807;28617;31875;35914;33787;28790;30221;28603;16942;19362;24148;20008;26266;30582;33046;35127;36868;36516;34880;31359;37534;37809;37502;35635;35370;36999;34377;40994;40568;40074;37837;35064;45279;40818;45387;40080;38442;42462;42354;44884;43580;44610;42602;43727;49730;44342;42888;40324;38460;43950;47838;45086;44658;39330;3149924
"420540 Florianópolis";8551;6103;3421;8641;8552;9565;9183;8653;8694;9668;9092;8611;10335;7805;11131;11561;12668;11116;9629;10767;11861;9499;14641;11501;11355;9991;5009;4619;5296;5283;5603;5961;6134;5073;9557;6479;4903;3954;6038;5119;4828;4934;5990;7014;7154;5856;7881;7401;8077;7272;8185;9439;10514;10248;10679;8928;9897;10932;11290;10115;12976;11431;17466;20593;16879;13479;12661;11567;19183;19171;11361;12316;16206;14085;14832;11107;13352;12128;9836;12638;12423;16143;18085;12644;840818
"431490 Porto Alegre";15157;13820;15378;18041;20266;15281;14461;13791;15039;15987;14823;16105;13479;14462;14010;17033;16791;16454;16160;16088;17890;20937;18198;18905;15677;15346;15835;10916;12870;12991;12775;13184;14235;14910;16383;19379;14777;14218;12926;13830;14676;12338;15132;12506;16534;15487;14042;13404;12723;14697;17480;16723;17051;15136;12617;15795;16045;17768;17232;19581;17940;16342;22682;21726;26090;21254;15742;17019;16052;16166;18348;17432;18874;18547;26595;19921;21039;20935;17784;19292;18806;19787;17103;16831;1388082
"500270 Campo Grande";10092;8508;11030;11788;12295;11777;13670;13204;13075;14704;13763;13196;13734;12722;15717;16353;14872;13475;12686;12313;12396;12831;12503;12624;13467;13830;11420;6928;7930;9002;9291;9383;10122;11451;10452;11710;8757;9443;11265;10490;11127;11670;10470;11141;10831;10799;11249;11770;13551;10036;9637;12252;11634;12240;11496;11561;11156;11365;10129;9375;8855;9279;12041;10438;11489;11356;13506;14320;11173;14870;14019;12716;13461;12756;13929;14573;13883;13431;14149;13464;13496;16736;13537;17621;1012856
"510340 Cuiabá";7346;4894;5046;4980;6871;8979;9679;16038;11532;11860;11972;11387;11391;11617;11193;10678;11338;13395;11060;4863;5037;4115;5990;5098;8282;8524;7398;4113;9979;13383;4619;6121;3785;6883;14942;9988;9391;8582;8049;10139;27218;19609;23017;16473;15281;17249;14826;21633;18142;9533;17695;18680;16759;19077;19080;14582;15719;14052;9917;14676;9179;14180;15409;17297;8764;33243;21663;22194;2778;29369;13690;3551;11271;5986;11464;10991;10942;18608;5378;20046;10352;9778;12826;8032;1020746
"520870 Goiânia";3290;2790;3574;2995;3440;2951;3649;3442;3352;3873;3580;40612;4235;4006;4074;4767;4761;4278;4509;4929;4362;5236;4161;3817;4455;4160;3867;3402;3319;3482;3444;3954;4316;3883;5925;4193;4265;3562;4177;5445;7170;6548;6699;9458;9995;10006;10348;11260;10814;14759;14723;14802;15831;15124;12836;14679;15574;14697;14923;14055;14807;16091;19114;18655;19520;17620;15811;17726;18376;19469;17891;15924;16674;19414;19151;26944;25789;25153;26252;29794;32463;30128;29248;30250;963097
"530010 Brasília";16984;17541;19179;15996;18112;17102;17602;14092;20926;18904;20266;5528;16835;14701;23563;20425;20333;18284;16969;16686;13882;12688;14438;10941;14826;22168;19272;18016;19063;19558;13853;14507;13641;23869;33425;25941;25442;29773;27085;24686;24714;28707;27694;29312;23822;24981;29490;35497;37540;30617;38757;38974;42910;51464;44851;45036;52002;50372;54580;57560;55028;51125;60191;56163;60396;56469;56834;60702;61438;61330;62800;64035;70186;72491;75415;65698;63274;58678;65245;61099;57489;43416;29214;28415;2913113
"Total";657996;572033;700315;737294;686151;621308;674527;629703;661339;702771;634414;640643;631567;644319;694748;735972;770917;696723;736436;681626;688026;742236;747523;718198;685354;745697;651186;460110;391224;429439;463707;510809;525450;545694;625592;558551;559751;530515;509646;512069;577990;566550;628330;618401;634813;641902;624852;731154;736137;615382;712251;727344;752034;1014188;746337;717733;745449;729922;772833;777082;761563;759558;895677;872460;887936;908366;839318;836889;832676;863994;863349;857516;859436;862036;958774;966079;948224;893196;861978;902235;854007;863897;853972;816305;60001704
 Fonte: Ministério da Saúde - Sistema de Informações Ambulatoriais do SUS (SIA/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
