 Produção Ambulatorial do SUS - Brasil - por local de atendimento
Qtd.apresentada por Capital e Ano/mês processamento
Procedimento: 0301030146 SAMU 192: ATENDIMENTO DAS CHAMADAS RECEBIDAS PELA CENTRAL DE REGULACAO DAS URGENCIAS COM ORIENTAC
Período:2018-2024
"Capital";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"2022/Ago";"2022/Set";"2022/Out";"2022/Nov";"2022/Dez";"2023/Jan";"2023/Fev";"2023/Mar";"2023/Abr";"2023/Mai";"2023/Jun";"2023/Jul";"2023/Ago";"2023/Set";"2023/Out";"2023/Nov";"2023/Dez";"2024/Jan";"2024/Fev";"2024/Mar";"2024/Abr";"2024/Mai";"2024/Jun";"2024/Jul";"2024/Ago";"2024/Set";"2024/Out";"2024/Nov";"2024/Dez";"Total"
"420540 Florianópolis";3727;3438;3664;3429;3379;3093;3165;3250;3169;-;3318;3763;-;6852;6852;3001;6221;-;2528;2339;2380;2267;2209;2532;2670;2301;-;3014;2565;2511;2902;2542;2262;2749;3004;1439;1257;-;4715;1970;1970;-;1786;1735;1717;1922;2010;2119;2865;1594;1559;1461;1513;1399;1517;1562;1470;-;1635;3680;2074;1673;1635;2246;2387;1678;1641;1755;2027;1732;1995;2280;1742;1893;1930;-;1588;-;2974;1770;1798;1641;1456;1570;185476
"431490 Porto Alegre";25270;10336;16931;9918;14130;9842;15919;15282;11406;7948;14626;19429;11301;13329;13655;18693;10734;19490;12704;8115;28637;11839;12075;16138;10337;9827;21686;22657;13435;13033;15421;13963;9497;10364;19455;20527;11473;4026;40893;15153;10863;16895;17127;13303;12559;14994;14553;15989;23406;16713;15097;15766;17952;16402;16373;4193;14015;15096;15594;18496;15934;12866;121458;14640;11948;20309;15276;4549;5003;15737;5761;17323;46313;16371;18071;4978;25007;16788;16575;15872;15894;17966;15187;13586;1388292
"500270 Campo Grande";2135;1142;1083;1044;1203;2104;1758;1558;1443;1334;1439;1397;1326;1123;1754;1715;1174;1874;1010;1060;1227;1384;1128;903;1040;1093;-;412;2273;359;403;356;264;311;214;376;151;129;207;194;131;120;62;122;122;106;73;85;64;36;52;46;59;52;53;31;34;55;62;42;32;30;52;79;36;40;41;48;45;44;38;34;31;51;53;46;23;30;26;36;53;41;37;27;43480
"510340 Cuiabá";-;1387;1537;1467;1321;1206;1170;1070;1159;1100;1063;-;-;-;1712;1852;1106;1036;926;1084;1349;809;1276;1026;1136;1168;1798;1528;1457;2300;2073;1488;1282;1331;1316;1458;1790;1182;2099;1233;1016;2076;1136;1190;1185;1268;2344;1280;1272;-;2147;1071;1658;1109;1218;943;6036;970;1090;1995;1056;18;1171;1146;1176;1179;1221;1214;1356;1540;1340;1377;1232;1070;1301;1294;1281;1186;998;1042;1080;1068;1064;1247;107956
"520870 Goiânia";22;-;34;14;6;11;12;-;23;-;4;6;16;8;7;5;11;22;17;12;5;8;20;16;15;14;26;18;19;15;21;9;1689;1910;1638;1767;1901;-;1867;1856;1530;1356;1361;1324;1242;1163;1252;1497;-;3258;1608;1311;1492;1479;1317;1222;1332;1292;1139;1303;1078;1120;1378;1097;1275;1270;1220;1172;1081;1065;908;993;1050;-;1885;1176;936;889;1254;1047;1115;883;1045;976;66435
"530010 Brasília";7615;7313;8599;9026;9097;7833;8185;7800;8419;8442;7257;7329;7579;6694;7881;8268;8503;6828;6627;6840;7444;7843;7638;7779;7380;7070;11579;10736;9103;8642;10037;7559;7855;8073;8125;7578;7824;6462;9730;3666;8232;7489;7897;7962;8272;7054;7976;8028;8993;7266;8244;8737;7852;7634;7168;6863;7447;6358;7055;6164;6974;6277;7693;8313;7648;7338;6216;7219;8091;7703;6977;8053;8416;8680;7841;7776;7746;7256;6891;7116;8133;6443;6971;7483;650203
"Total";129924;113041;135296;124065;127849;120851;121377;123984;111180;103340;104735;119057;101426;102132;122066;113265;104236;114556;132513;101999;129140;107395;91220;114654;105724;90083;124269;114049;139604;151953;150218;134008;116889;135146;160018;139263;120335;102484;175302;128803;123142;136802;217594;126529;129644;195027;183639;140513;154590;136589;129062;176092;136410;181449;129877;115386;126599;126031;119137;125781;132416;123959;247506;134538;138590;136975;133733;126311;151941;140981;133924;152441;168568;146159;154145;144812;160545;144562;152803;146526;148373;147721;141391;147370;11323632
 Fonte: Ministério da Saúde - Sistema de Informações Ambulatoriais do SUS (SIA/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
